PrimaryKey,PlotKey,PlotID,State,County,ID
CO_Gunnison-Field-Office-2020_Aspen-2223_V22020-09-01,CO_Gunnison-Field-Office-2020_Aspen-2223_V2,Aspen-2223,CO,Gunnison Field Office,153
18060112341327832018-09-01,1806011234132783,GRSGInt-03,CO,San Miguel,154
COS01000_2020_PJ-0192019-09-01,COS01000_2020_PJ-019,PJ-019,CO,COS01000,155
18072614100251012018-09-01,1807261410025101,AS-329,CO,Dolores,156
CO_Gunnison-Field-Office-2020_Alpine-217_V12020-09-01,CO_Gunnison-Field-Office-2020_Alpine-217_V1,Alpine-217,CO,Gunnison Field Office,157
COS01000_2020_SS-0832019-09-01,COS01000_2020_SS-083,SS-083,CO,COS01000,158
17071908480840482017-09-01,1707190848084048,Conifer-1004,CO,Gunnison,159
CO_Gunnison-Field-Office-2020_Conifer-2015_V22020-09-01,CO_Gunnison-Field-Office-2020_Conifer-2015_V2,Conifer-2015,CO,Gunnison Field Office,160
COF07000_OverSample2019_Conifer-20152019-09-01,COF07000_OverSample2019_Conifer-2015,Conifer-2015,CO,COF07000,161
CO_TRFO-2020_GR-306_V12020-09-01,CO_TRFO-2020_GR-306_V1,GR-306,CO,Tres Rios Field Office,162
COF07000_OverSample2019_Cotton-20372019-09-01,COF07000_OverSample2019_Cotton-2037,Cotton-2037,CO,COF07000,163
COS01000_2020_PP-2772019-09-01,COS01000_2020_PP-277,PP-277,CO,COS01000,164
1808271215446582018-09-01,180827121544658,WyoSage-680,CO,Mesa,165
15060110515266272015-09-01,1506011051526627,7,CO,NA,166
COS01000_2019_PJ-0112019-09-01,COS01000_2019_PJ-011,PJ-011,CO,COS01000,167
18072614160589462018-09-01,1807261416058946,SD-146,CO,San Miguel,168
17093014205044082017-09-01,1709301420504408,PJ-1182,CO,Mesa,169
COF07000_2019_Aspen-22192019-09-01,COF07000_2019_Aspen-2219,Aspen-2219,CO,COF07000,170
COS01000_2020_AS-3362019-09-01,COS01000_2020_AS-336,AS-336,CO,COS01000,171
15061911004876372015-09-01,1506191100487637,91,CO,NA,172
CO_CO-NWD-2020_WyoSage-806_V12020-09-01,CO_CO-NWD-2020_WyoSage-806_V1,WyoSage-806,CO,Grand Junction Field Office,173
18060112224877332018-09-01,1806011222487733,SS-067,CO,San Miguel,174
CO_Gunnison-Field-Office-2020_Alpine-323_V12020-09-01,CO_Gunnison-Field-Office-2020_Alpine-323_V1,Alpine-323,CO,Gunnison Field Office,175
1708171140064292017-09-01,170817114006429,FID 108,CO,Mesa,176
15060911531760392015-09-01,1506091153176039,55,CO,NA,177
1706131208099132017-09-01,170613120809913,FID 63,CO,Mesa,178
17080307515465862017-09-01,1708030751546586,Cotton-1411,CO,Saguache,179
17082210324996342017-09-01,1708221032499634,Other-1124,CO,Gunnison,180
17062909455281372017-09-01,1706290945528137,Oak-1170,CO,Gunnison,181
CO_Gunnison-Field-Office-2020_Oak-1170_V22020-09-01,CO_Gunnison-Field-Office-2020_Oak-1170_V2,Oak-1170,CO,Gunnison Field Office,182
COS01000_2019_SD-1572019-09-01,COS01000_2019_SD-157,SD-157,CO,COS01000,183
CO_Gunnison-Field-Office-2020_Forest_Other-013_V12020-09-01,CO_Gunnison-Field-Office-2020_Forest_Other-013_V1,Forest_Other-013,CO,Gunnison Field Office,184
15062417152929702015-09-01,1506241715292970,103,CO,NA,185
16081515134723002016-09-01,1608151513472300,WySage-557,CO,Gunnison,186
17062110265751002017-09-01,1706211026575100,Aspen-1259,CO,Gunnison,187
1809041232105852018-09-01,180904123210585,Conifer-2013,CO,Hinsdale,188
