"ID","SoilKey","Longitude","Latitude"
184,"CO_Gunnison-Field-Office-2020_Forest_Other-013_V1",-107.17264786,38.17186313
185,"1506251146113681",-107.07415,38.46635
186,"1608151519011482",-107.0854029,38.37895094
187,"1706221417411777",-107.14478,38.21463
188,"1809041323515449",-107.31972,38.00149
189,"1809051351332488",-108.58511,37.93189
190,"150604103728864",-107.08298,38.37606
191,"1706281648199454",-107.06921,38.46254
192,"1507211744543460",-108.75092933,38.05976403
193,"1809051258107433",-108.53017,37.89109
194,"COS01000_2019_SS-074",-108.84178508,38.17520661
195,"1608031322074803",-107.0735686,38.37306717
196,"CO_CO-NWD-2020_PJ-477_V1",-107.91022888,39.22567322
197,"COS08000_2019_GOS-147",-107.90384408,39.22600721
198,"CO_Gunnison-Field-Office-2020_Alpine-233_V1",-107.62101461,37.82081109
199,"COS01000_2019_PJ-015",-108.66594071,37.97686229
200,"1507301649219586",-107.06136,38.42149
201,"1609231902581211",-108.457971,39.13929
202,"1608031407029165",-107.0913562,38.29554837
203,NA,-107.09134643,38.29553265
204,"CO_TRFO-2020_SS-099_V1",-108.7436452,38.042979
205,"1806201630212981",-107.05592,38.52768
206,"1507290832218832",-107.06085,38.40348
207,"1807021412056078",-107.07227,38.34302
208,"1806071349591753",-108.7732,38.0688
209,"1706221427425207",-107.06894,38.35394
210,"1608010950077670",-108.9504,38.564529
211,"1707071537284066",-107.05269,38.39207
212,"180702123936213",-107.11784,38.20561
213,"CO_TRFO-2020_SD-165_V1",-108.52491891,37.86942619
214,"1908230821524343",-108.77627,38.933119
215,"1706221344249244",-107.0451,38.55999
216,"CO_Gunnison-Field-Office-2020_Alpine-231_V1",-107.37912748,37.92457549
217,"1809221331289354",-107.06943,38.31197
218,"CO_TRFO-2020_AS-345_V1",-108.35887723,37.79813855
219,"1908230542082491",-108.792982,38.91888
220,"1809251541081581",-108.55148,37.88057
221,"1808130952021792",-108.73505,38.01151
222,"1709191528063038",-107.04952,38.37521
223,"CO_TRFO-2020_SS-090_V1",-108.90042726,38.23368673
224,"1609280947513760",-108.2785936,39.21647899
225,"1608021547349637",-107.063611,38.31019444
226,"1608311302501365",-107.2717146,37.99825585
227,"1708181624132168",-107.03295,38.53024
228,"COS08000_2020_PJ-468",-108.93408127,38.68983259
229,"1707131334419781",-107.44013,37.87626
230,"1806281406331776",-107.10131,38.2109
231,"1908241146471385",-108.782283,38.943096
232,"1806271443136382",-107.03011,38.53522
233,"1608290831399688",-107.027728,38.47198451
234,"1506231325185899",-107.03745,38.38585
235,"15061511584799",-107.0278,38.44897
236,"1708171048328802",-108.80553,38.93013
237,"1908200848577796",-108.80553,38.93013
238,"190814082032725",-108.795422,38.942672
239,"1707241501599647",-108.20052,39.24567
240,"1808131028463559",-107.02472,38.40084
241,"COS01000_2019_SD-158",-108.78989099,38.03559585
242,"1908261255079070",-108.79358,38.95427
243,NA,-107.01556495,38.422286
244,"180822141157429",-107.04706,38.28599
245,"1608250825047528",-107.0109883,38.54591786
246,"1706271524102426",-108.31174,39.2296
247,"1809051548013893",-108.61176,37.88594
248,"CO_CO-NWD-2020_WyoSage-820_V1",-108.99019388,38.4872017
249,"1808281015332631",-107.0405,38.29741
250,"170717143742334",-108.47952,39.17382
